,Fail_num,Score,Fitness,Sharpe,Returns,Turnover,Drawdown,Self_Corr,Exec_time,Generation,Thread_num,Task_num,Alpha,From_process
1137,4,0.011,0,0.02,-0.32%,20.70%,63.17%,,51.12s,4,8,13,"ts_rank(ts_min(snt_social_value, 2), 3)*ts_sum(ts_delta(systematic_risk_last_90_days, 6), 120)/(ts_sum(ts_min(systematic_risk_last_90_days, 8), 15)*ts_sum(ts_min(ts_mean(systematic_risk_last_90_days, 3), 8), 15))",19
1138,4,0.011,0,0.02,0.21%,8.54%,17.51%,,16.13s,1,10,5,"trade_when(ts_mean(returns, 20) - 0.01, ts_delay(rating - systematic_risk_last_60_days, 120), -1)",19
1139,4,0.011,0,0.02,-0.10%,2.37%,33.39%,,32.37s,1,5,1,"trade_when(ts_mean(returns, 20) - 0.01, -correlation_last_30_days_spy, -1)",2
1140,4,0.011,0,0.02,0.36%,6.69%,60.12%,,34.36s,2,3,7,"trade_when(ts_mean(returns, 20) - 0.01, snt_buzz_ret, -1)",20
1141,4,0.011,0,0.02,-0.10%,2.37%,33.39%,,32.42s,2,8,6,"trade_when(ts_mean(returns, 20) - 0.01, -correlation_last_30_days_spy, -1)",20
1142,4,0.011,0,0.02,0.08%,2.79%,12.82%,,42.85s,1,9,1,"trade_when(ts_mean(returns, 20) - 0.01, group_neutralize(ts_sum(snt_social_volume, 4), industry), -1)",20
1143,4,0.011,0,0.02,0.21%,19.99%,40.45%,,36.29s,2,9,8,"trade_when(ts_mean(returns, 20) - 0.01, log(log(correlation_last_30_days_spy*rating/correlation_last_90_days_spy)), -1)",20
1144,4,0.011,0,0.02,0.20%,5.96%,39.12%,,14.36s,1,3,2,log(sign(scl12_buzz)),6
1145,4,0.011,0,0.02,-0.11%,6.54%,20.63%,,32.24s,1,1,4,"ts_min(scl12_sentiment, 21)",8
1146,4,0.011,0,0.02,-0.09%,2.99%,12.54%,,38.30s,5,2,12,"trade_when(ts_mean(returns, 20) - 0.01, systematic_risk_last_90_days + rank(correlation_last_60_days_spy/correlation_last_30_days_spy), -1)",8
1147,4,0.011,0,0.02,-0.09%,20.20%,11.03%,,30.43s,2,5,7,"ts_rank(ts_mean(unsystematic_risk_last_30_days, 9), 6)",9
1148,4,0.011,0,0.02,-0.10%,1.38%,18.97%,,32.24s,2,9,8,"rank(ts_mean(ts_sum(scl12_sentiment, 10), 250))",9
